subject_id,item_id,lexicality,frequency,priming,rt,correct,log_rt
subj_01,item_000,word,high,related,492.8656955298944,1,6.200236714068588
subj_01,item_001,word,high,related,525.6541512598945,1,6.264643489374646
subj_01,item_003,word,high,related,440.1129611568439,1,6.087031423864743
subj_01,item_004,word,high,related,506.9221567039711,1,6.228357454730125
subj_01,item_005,word,high,related,451.90997734295337,1,6.113482994825758
subj_01,item_006,word,high,related,449.95595631681675,1,6.1091497031227915
subj_01,item_007,word,high,related,539.0748062375719,1,6.289854348361655
subj_01,item_008,word,high,related,521.9804386852745,1,6.25763011339748
subj_01,item_009,word,high,related,392.6954957954405,1,5.973034491682281
subj_01,item_010,word,high,related,799.366716742026,1,6.683819810111508
subj_01,item_011,word,high,related,528.7619233925511,1,6.270538280257634
subj_01,item_012,word,high,related,441.9493174844062,1,6.09119520917814
subj_01,item_013,word,high,related,522.000685349547,1,6.257668900811943
subj_01,item_014,word,high,related,461.5989788782538,1,6.134696503055944
subj_01,item_015,word,high,related,489.7076564737073,1,6.193808593615058
subj_01,item_016,word,high,related,456.71539220680694,1,6.124060422725287
subj_01,item_017,word,high,related,546.0484685843472,1,6.302707742106057
subj_01,item_018,word,high,related,440.50685517231466,1,6.0879260075078445
subj_01,item_020,word,high,related,410.22642360092084,1,6.016709259948131
subj_01,item_021,word,high,related,596.812186759373,1,6.391602468854274
subj_01,item_022,word,high,related,600.4108625833155,1,6.397614191839674
subj_01,item_023,word,high,related,468.2400429111945,1,6.148981076626551
subj_01,item_024,word,high,related,518.9896112740979,1,6.251883866152636
subj_01,item_025,word,high,related,601.9336416147431,1,6.40014720935722
subj_01,item_026,word,high,related,604.6398581386933,1,6.4046330049800435
subj_01,item_027,word,high,related,558.6517905205054,1,6.3255263640727994
subj_01,item_029,word,high,related,487.8072749266918,1,6.189920399419466
subj_01,item_030,word,high,related,686.2333733899978,1,6.531217764318936
subj_01,item_031,word,high,related,396.9685333368478,1,5.98385701642961
subj_01,item_032,word,high,related,668.5891100220283,1,6.505169686120818
subj_01,item_033,word,high,related,518.7803484514515,1,6.251480572872614
subj_01,item_034,word,high,related,640.1121119138293,1,6.461643335877751
subj_01,item_035,word,high,related,633.9169823646496,1,6.451918003220981
subj_01,item_036,word,high,related,434.2848014986957,1,6.073700543530531
subj_01,item_037,word,high,related,597.5186469126313,1,6.3927854915406765
subj_01,item_038,word,high,related,497.80178650261536,1,6.210201978722985
subj_01,item_039,word,high,related,444.5574640644325,1,6.097079324583506
subj_01,item_040,word,high,unrelated,538.5997765713399,1,6.288972765545144
subj_01,item_042,word,high,unrelated,505.7180554442725,1,6.2259793113130595
subj_01,item_043,word,high,unrelated,481.81540081371577,1,6.177561054829123
subj_01,item_044,word,high,unrelated,835.5669823118235,1,6.728110515153306
subj_01,item_046,word,high,unrelated,526.6003807273779,1,6.26644197005355
subj_01,item_047,word,high,unrelated,558.9226588572079,1,6.326011107334704
subj_01,item_048,word,high,unrelated,528.433191552652,1,6.269916385877218
subj_01,item_049,word,high,unrelated,428.1549413015253,1,6.059485142457864
subj_01,item_050,word,high,unrelated,558.3890685252214,1,6.325055974833228
subj_01,item_051,word,high,unrelated,499.59804418008775,1,6.213803863472118
subj_01,item_052,word,high,unrelated,594.3681830756984,1,6.387498964170916
subj_01,item_053,word,high,unrelated,692.9751566768857,1,6.540994149596211
subj_01,item_054,word,high,unrelated,487.2484427744903,1,6.188774142434878
subj_01,item_055,word,high,unrelated,560.3197193282263,1,6.328507548184001
subj_01,item_056,word,high,unrelated,548.6485333402406,1,6.307458042217598
subj_01,item_057,word,high,unrelated,527.9175722721787,1,6.2689401583984665
subj_01,item_058,word,high,unrelated,642.0564681402025,1,6.464676256426682
subj_01,item_059,word,high,unrelated,588.7744934526895,1,6.378043246932682
subj_01,item_060,word,high,unrelated,508.4706135218151,1,6.231407423301107
subj_01,item_061,word,high,unrelated,488.67984894873894,1,6.191707569435253
subj_01,item_062,word,high,unrelated,517.3709952912,1,6.248760209601539
subj_01,item_063,word,high,unrelated,538.4953356083466,1,6.288778834735989
subj_01,item_064,word,high,unrelated,545.7099529021251,1,6.30208761280564
subj_01,item_065,word,high,unrelated,628.8689168578176,1,6.443922835710144
subj_01,item_066,word,high,unrelated,503.9935340702911,1,6.22256343876346
subj_01,item_067,word,high,unrelated,790.2740007136415,1,6.672379721673627
subj_01,item_068,word,high,unrelated,655.3337884552055,1,6.485144706527884
subj_01,item_069,word,high,unrelated,560.184466436679,1,6.328266133838706
subj_01,item_070,word,high,unrelated,567.9169749690149,1,6.341975237207955
subj_01,item_072,word,high,unrelated,463.9033738495271,1,6.139676284526093
subj_01,item_074,word,high,unrelated,588.2490855921399,1,6.3771504731517625
subj_01,item_075,word,high,unrelated,759.3528158658396,1,6.6324665124275715
subj_01,item_076,word,high,unrelated,495.64307628659134,1,6.205856063424599
subj_01,item_077,word,high,unrelated,686.2900812910046,1,6.531300397370992
subj_01,item_078,word,high,unrelated,535.7777092172613,1,6.283719353440424
subj_01,item_079,word,high,unrelated,570.3727639067419,1,6.346290118848459
subj_01,item_080,word,low,related,678.4225343196606,1,6.519770300788733
subj_01,item_081,word,low,related,709.3661591247763,1,6.5643718376843
subj_01,item_082,word,low,related,837.2104209625129,1,6.73007543789346
subj_01,item_083,word,low,related,554.8489982193636,1,6.318696001446814
subj_01,item_084,word,low,related,647.808645264232,1,6.473595352224331
subj_01,item_085,word,low,related,673.0147759437529,1,6.511767284743613
subj_01,item_086,word,low,related,433.25302815918525,1,6.071321917975064
subj_01,item_087,word,low,related,513.5110924188963,1,6.241271630730036
subj_01,item_088,word,low,related,724.931105471567,1,6.58607662340356
subj_01,item_089,word,low,related,492.30695958379926,1,6.199102423539711
subj_01,item_090,word,low,related,612.1327553271982,1,6.416949179457761
subj_01,item_091,word,low,related,580.8270502190135,1,6.364453036494598
subj_01,item_092,word,low,related,590.6398404444267,1,6.381206424610732
subj_01,item_093,word,low,related,601.3541099741622,1,6.399183962312404
subj_01,item_094,word,low,related,583.8186154444167,1,6.369590344592728
subj_01,item_095,word,low,related,719.7305285623598,1,6.5788768760695335
subj_01,item_096,word,low,related,853.5782169823036,1,6.749437180662753
subj_01,item_097,word,low,related,684.030377982462,1,6.528002328891417
subj_01,item_098,word,low,related,619.1434575384937,1,6.428337002761207
subj_01,item_099,word,low,related,609.9882124272258,1,6.413439633090855
subj_01,item_100,word,low,related,629.9022808298153,1,6.445564697560866
subj_01,item_101,word,low,related,561.7240354672879,1,6.331010689200229
subj_01,item_102,word,low,related,561.9410760844739,1,6.331396997572099
subj_01,item_103,word,low,related,665.52639129271,1,6.50057829338653
subj_01,item_104,word,low,related,559.223150425153,1,6.326548589249289
subj_01,item_105,word,low,related,536.1586736240381,1,6.2844301501423825
subj_01,item_106,word,low,related,775.2334832594006,1,6.653164252702846
subj_01,item_107,word,low,related,664.1152197910019,1,6.498455658204553
subj_01,item_108,word,low,related,745.4407212605827,1,6.613975615631582
subj_01,item_109,word,low,related,544.9533376600195,1,6.300700172025289
subj_01,item_110,word,low,related,678.7364095973232,1,6.520232848354978
subj_01,item_111,word,low,related,506.6255557143254,1,6.227772181842666
subj_01,item_112,word,low,related,665.1388040729985,1,6.499995746804531
subj_01,item_113,word,low,related,597.295273751247,1,6.392411587018603
subj_01,item_114,word,low,related,693.8758632753483,1,6.542293073146245
subj_01,item_115,word,low,related,568.9980930765911,1,6.343877082761472
subj_01,item_117,word,low,related,717.4360958275308,1,6.575683878618512
subj_01,item_118,word,low,related,627.3662645527925,1,6.441530524073088
subj_01,item_119,word,low,related,573.8678190662803,1,6.352399089428636
subj_01,item_120,word,low,unrelated,870.5220532134463,1,6.769093092848799
subj_01,item_121,word,low,unrelated,646.9346368992934,1,6.47224526451237
subj_01,item_122,word,low,unrelated,614.8502704964907,1,6.421378775557354
subj_01,item_123,word,low,unrelated,649.6288925613535,1,6.476401265323513
